system,method_key,method,series,measurement,value,source_tex
x265,spl,SPL,upper,40,123.89,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,60,126.85,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,80,126.85,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,100,126.85,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,120,138.30,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,140,138.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,160,138.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,180,155.37,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,200,160.93,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,20,103.89,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,40,103.76,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,60,115.66,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,80,115.66,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,100,115.66,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,120,116.97,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,140,122.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,160,122.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,180,122.35,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,lower,200,122.82,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,20,118.04,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,40,118.04,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,60,120.54,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,80,120.54,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,100,128.18,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,120,131.47,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,140,139.65,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,160,154.76,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,180,155.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,hebo_dt,HEBO+DepTune,mean,200,169.43,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,20,38.39,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,40,66.18,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,60,97.95,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,80,111.45,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,100,130.92,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,120,134.97,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,140,136.72,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,160,138.18,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,180,156.42,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,flash,FLASH,mean,200,156.42,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,20,48.09,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,40,78.02,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,60,85.34,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,80,121.22,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,100,131.69,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,120,139.96,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,140,149.45,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,160,152.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,180,157.15,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,mean,200,159.01,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,20,82.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,40,102.82,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,60,123.69,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,80,130.73,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,100,130.73,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,120,130.73,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,140,134.16,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,160,134.16,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,180,134.16,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,mean,200,134.16,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,20,110.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,40,113.82,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,60,121.26,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,80,121.26,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,100,121.26,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,120,127.64,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,140,130.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,160,130.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,180,138.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,mean,200,141.87,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
