system,method_key,method,series,measurement,value,source_tex
tomcat,promise,PromiseTune,lower,20,1808.19,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,40,1841.17,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,60,1863.12,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,80,1869.44,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,100,1876.34,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,120,1887.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,140,1887.10,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,160,1888.69,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,180,1888.69,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,lower,200,1894.80,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,20,1917.29,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,40,1942.29,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,60,1953.94,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,80,1959.35,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,100,3152.71,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,120,3152.71,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,140,3152.71,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,160,3650.04,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,180,3650.04,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,upper,200,3650.04,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,20,0.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,40,14.63,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,60,14.87,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,80,45.56,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,100,1997.85,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,120,1997.85,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,140,1997.85,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,160,1981.47,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,180,1981.47,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,lower,200,1981.47,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,20,2166.37,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,40,2579.47,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,60,2652.63,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,80,3097.29,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,100,3677.13,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,120,3683.28,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,140,3671.65,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,160,3677.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,180,3878.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,upper,200,3878.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,20,1082.23,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,40,2004.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,60,2036.86,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,80,1955.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,100,1990.33,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,120,2004.76,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,140,2093.44,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,160,2114.97,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,180,2110.01,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,lower,200,2110.01,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,20,2118.98,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,40,2232.36,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,60,2238.33,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,hebo_dt,HEBO+DepTune,mean,80,2245.17,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
